YEAR,PROVINCE,N_ACCIDENTS
2014,ZH,18208
2014,NB,15082
2014,LB,6436
2014,GL,12273
2014,FL,1595
2014,UT,7570
2014,NH,14895
2014,FR,2862
2014,GR,3195
2014,DR,2488
2014,ZL,2030
2014,OV,7959
2020,ZH,26056
2020,NB,14168
2020,LB,6630
2020,GL,12424
2020,FL,2276
2020,UT,7654
2020,NH,16593
2020,FR,3154
2020,GR,3087
2020,DR,2403
2020,ZL,2200
2020,OV,6933
2019,ZH,31389
2019,NB,20000
2019,LB,8219
2019,GL,16512
2019,FL,2618
2019,UT,10413
2019,NH,22453
2019,FR,4008
2019,GR,3902
2019,DR,3047
2019,ZL,2621
2019,OV,9435
2021,ZH,29235
2021,NB,16867
2021,LB,7229
2021,GL,13365
2021,FL,2481
2021,UT,8224
2021,NH,18217
2021,FR,3092
2021,GR,3222
2021,DR,2539
2021,ZL,2330
2021,OV,7418
2013,ZH,19355
2013,NB,15476
2013,LB,6036
2013,GL,13016
2013,FL,1844
2013,UT,9131
2013,NH,15950
2013,FR,3595
2013,GR,3796
2013,DR,2713
2013,ZL,2438
2013,OV,8810
2012,ZH,20101
2012,NB,14260
2012,LB,5117
2012,GL,13170
2012,FL,1855
2012,UT,9136
2012,NH,15317
2012,FR,3241
2012,GR,3855
2012,DR,2735
2012,ZL,2675
2012,OV,7891
2015,ZH,21817
2015,NB,17470
2015,LB,7776
2015,GL,15081
2015,FL,1984
2015,UT,8716
2015,NH,18872
2015,FR,3625
2015,GR,3697
2015,DR,2746
2015,ZL,2468
2015,OV,9037
2016,ZH,24782
2016,NB,19083
2016,LB,8804
2016,GL,16514
2016,FL,2477
2016,UT,9804
2016,NH,20858
2016,FR,3886
2016,GR,3732
2016,DR,2843
2016,ZL,2763
2016,OV,9446
2017,ZH,26004
2017,NB,18441
2017,LB,8416
2017,GL,15957
2017,FL,2609
2017,UT,9959
2017,NH,20599
2017,FR,3694
2017,GR,3725
2017,DR,2980
2017,ZL,2689
2017,OV,8857
2018,ZH,29029
2018,NB,19174
2018,LB,8010
2018,GL,15956
2018,FL,2604
2018,UT,10627
2018,NH,21920
2018,FR,3417
2018,GR,3566
2018,DR,2854
2018,ZL,2432
2018,OV,8636
