Regio's (naam),Perioden (jaar),Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Geboorte (aantal),"Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Geboorte, relatief (per 1 000 inwoners)",Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Sterfte (aantal),"Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Sterfte, relatief (per 1 000 inwoners)",Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Geboorteoverschot (aantal),"Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Geboorteoverschot, relatief (per 1 000 inwoners)",Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Doodsoorzaken|Nieuwvormingen (aantal),Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Doodsoorzaken|Ziekten van hart en vaatstelsel (aantal),Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Doodsoorzaken|Ziekten van ademhalingsstelsel (aantal),Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Doodsoorzaken|Uitwendige doodsoorzaken (aantal),Bevolking|Bevolkingsontwikkeling|Geboorte en sterfte|Doodsoorzaken|Overige doodsoorzaken (aantal),Bevolking|Bevolkingsontwikkeling|Verhuizingen|Vestiging uit andere gemeente (aantal),Bevolking|Bevolkingsontwikkeling|Verhuizingen|Vertrek naar andere gemeente (aantal),Bevolking|Bevolkingsontwikkeling|Verhuizingen|Binnenlands migratiesaldo (aantal),"Bevolking|Bevolkingsontwikkeling|Verhuizingen|Binnenlands migratiesaldo, relatief (per 1 000 inwoners)","Bevolking|Bevolkingsontwikkeling|Verhuizingen|Verhuismobiliteit, relatief (per 1 000 inwoners)",Bevolking|Bevolkingsontwikkeling|Immigratie en emigratie|Immigratie (aantal),Bevolking|Bevolkingsontwikkeling|Immigratie en emigratie|Emigratie (aantal),Bevolking|Bevolkingsontwikkeling|Immigratie en emigratie|Migratiesaldo (aantal),"Bevolking|Bevolkingsontwikkeling|Immigratie en emigratie|Migratiesaldo, relatief (per 1 000 inwoners)",Bevolking|Bevolkingsontwikkeling|Bevolkingsgroei|Inwoners op 31 december (aantal),Bevolking|Bevolkingsontwikkeling|Bevolkingsgroei|Bevolkingsgroei (aantal),"Bevolking|Bevolkingsontwikkeling|Bevolkingsgroei|Bevolkingsgroei, relatief (per 1 000 inwoners)",Bevolking|Bevolkingsontwikkeling|Bevolkingsgroei|Gemiddeld aantal inwoners (aantal)
Groningen (PV),2012,5604,"9,6",5460,"9,4",144,"0,2",1763,1529,523,217,1428,28474,28582,-108,"-0,2","110,2",6247,5458,789,"1,4",581705,830,"1,4",581290
Groningen (PV),2013,5326,"9,1",5387,"9,3",-61,"-0,1",1679,1533,452,251,1472,28526,28845,-319,"-0,5","110,7",6594,5197,1397,"2,4",582728,1023,"1,8","582216,5"
Groningen (PV),2014,5414,"9,3",5325,"9,1",89,"0,2",1695,1539,395,233,1463,29746,31657,-1911,"-3,3",116,8977,5935,3042,"5,2",583942,1214,"2,1",583335
Groningen (PV),2015,5329,"9,1",5481,"9,4",-152,"-0,3",1725,1535,446,222,1553,30752,36636,-5884,"-10,1","126,7",11611,5818,5793,"9,9",583721,-221,"-0,4","583831,5"
Groningen (PV),2016,5406,"9,3",5583,"9,6",-177,"-0,3",1766,1491,456,268,1602,33754,39880,-6126,"-10,5","130,7",12156,5975,6181,"10,6",583581,-140,"-0,2",583651
Groningen (PV),2017,5092,"8,7",5664,"9,7",-572,-1,1742,1501,492,247,1682,33934,36871,-2937,-5,"131,4",9043,6151,2892,5,582944,-637,"-1,1","583262,5"
Groningen (PV),2018,4933,"8,5",5650,"9,7",-717,"-1,2",1756,1472,480,253,1689,31393,41138,-9745,"-16,7","132,9",17098,5609,11489,"19,7",583990,1046,"1,8",583467
Groningen (PV),2019,5042,"8,6",5500,"9,4",-458,"-0,8",1800,1370,473,255,1602,28999,37111,-8112,"-13,9","131,9",16664,6239,10425,"17,9",585866,1876,"3,2",584928
Groningen (PV),2020,4956,"8,5",5716,"9,7",-760,"-1,3",1748,1409,398,299,1862,29912,35746,-5834,"-9,9",134,,,,,586937,1071,"1,8","586401,5"
Groningen (PV),2021,5306,9,6201,"10,5",-895,"-1,5",1737,1431,348,302,2383,29065,41916,-12851,"-21,8",134,,,,,590170,3233,"5,5","588553,5"
Groningen (PV),2022,,,,,,,,,,,,,,,,,,,,,,,,
Fryslân (PV),2012,6502,10,5882,"9,1",620,1,1917,1706,582,216,1461,22506,23925,-1419,"-2,2","84,8",3146,2706,440,"0,7",646862,-352,"-0,5",647038
Fryslân (PV),2013,6263,"9,7",5937,"9,2",326,"0,5",1817,1636,544,261,1679,23292,24849,-1557,"-2,4","84,2",3259,2621,638,1,646317,-545,"-0,8","646589,5"
